sumber,bab,pasal,ayat,tahun_terbit,status,chunk_index,kategori,page_content
Peraturan_Akademik_2023,1,1,1,2023,berlaku,1,ketentuan umum,"Universitas adalah Universitas Pembangunan Nasional “Veteran” Jawa Timur yang selanjutnya disebut UPN “Veteran” Jawa Timur merupakan Perguruan Tinggi Negeri Badan Layanan Umum,"
Peraturan_Akademik_2023,1,1,2,2023,berlaku,2,ketentuan umum,Rektor adalah organ UPN “Veteran” Jawa Timur yang memimpin penyelenggaraan dan pengelolaan UPN “Veteran” Jawa Timur:
Peraturan_Akademik_2023,1,1,3,2023,berlaku,3,ketentuan umum,"Senat adalah organ UPN “Veteran” Jawa Timur yang menetapkan kebijakan, memberikan pertimbangan, dan melakukan pengawasan di bidang akademik,"
Peraturan_Akademik_2023,1,1,4,2023,berlaku,4,ketentuan umum,"Dekan adalah pimpinan fakultas yang berwenang dan bertanggung jawab terhadap penyelenggaraan pendidikan di masing-masing fakultas,"
Peraturan_Akademik_2023,1,1,5,2023,berlaku,5,ketentuan umum,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik dalam satu rumpun disiplin ilmu pengetahuan -teknologi, humaniora, dan seni:"
Peraturan_Akademik_2023,1,1,6,2023,berlaku,6,ketentuan umum,"Jurusan adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik dalam satu bidang ilmu pengetahuan, teknologi, humaniora, dan seni,"
Peraturan_Akademik_2023,1,1,7,2023,berlaku,7,ketentuan umum,Program studi adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum dan metode pembelajaran tertentu dalam satu jenis pendidikan akademik dan/ atau pendidikan profesi:
Peraturan_Akademik_2023,1,1,8,2023,berlaku,8,ketentuan umum,"Dosen adalah tenaga pendidik yang mengajar mahasiswa UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,1,1,9,2023,berlaku,9,ketentuan umum,"Pembimbing Akademik yang selanjutnya disingkat PA adalah dosen yang ditunjuk oleh fakultas untuk membimbing dan mengarahkan mahasiswa dalam menyusun rencana studi sesuai dengan aturan yang berlaku, serta mengikuti perkembangan studi mahasiswa yang menjadi tanggung jawab bimbingannya,"
Peraturan_Akademik_2023,1,1,10,2023,berlaku,10,ketentuan umum,"Pembimbing skripsi/prototype/tugas akhir adalah dosen yang ditunjuk oleh Dekan untuk membimbing penyusunan karya tulis tugas akhir mahasiswa,"
Peraturan_Akademik_2023,1,1,11,2023,berlaku,11,ketentuan umum,"Mahasiswa adalah peserta didik pada jenjang pendidikan tinggi di UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,1,1,12,2023,berlaku,12,ketentuan umum,"Mahasiswa asing adalah peserta didik pada jenjang pendidikan tinggi di UPN “Veteran” Jawa Timur yang berasal dari Warga Negara Asing (WNA),"
Peraturan_Akademik_2023,1,1,13,2023,berlaku,13,ketentuan umum,"Program sarjana adalah pendidikan akademik yang diperuntukkan bagi lulusan pendidikan menengah atau sederajat sehingga mampu mengamalkan ilmu pengetahuan dan teknologi melalui penalaran ilmiah,"
Peraturan_Akademik_2023,1,1,14,2023,berlaku,14,ketentuan umum,"Program Sarjana Terapan adalh pendidikan vokasi yang diperuntukkan bagi lulusan pendidikan menengah atau sederajat sehingga mampu mengamalkan ilmu pengetahuan dan teknologi memaluipenalaran ilmiah,"
Peraturan_Akademik_2023,1,1,15,2023,berlaku,15,ketentuan umum,"Kerangka Kualifikasi Nasional Indonesia yang selanjutnya disingkat KKNI adalah kerangka penjenjangan kualifikasi kompetensi yang dapat menyandingkan, menyetarakan dan mengintegrasikan antara bidang pendidikan dan bidang pelatihan kerja serta pengalaman kerja dalam rangka pemberian pengakuan kompetensi kerja sesuai dengan struktur pekerjaan di berbagai sektor:"
Peraturan_Akademik_2023,1,1,16,2023,berlaku,16,ketentuan umum,"Kurikulum adalah seperangkat rencana dan pengaturan mengenai capaian pembelajaran lulusan, bahan kajian, proses dan penilaian yang digunakan sebagai pedoman penyelenggaraan program studi,"
Peraturan_Akademik_2023,1,1,17,2023,berlaku,17,ketentuan umum,"Student Centered Learning yang selanjutnya disingkat SCL adalah sistem pembelajaran dengan menempatkan mahasiswa sebagai pelaku utama dalam proses pembelajaran dan dosen berfungsi sebagai fasilitator dan motivator,"
Peraturan_Akademik_2023,1,1,18,2023,berlaku,18,ketentuan umum,"Sitin adalah peserta didik yang secara administratif terdaftar pada UPN “Veteran” Jawa Timur, dengan kegiatan utama mengikuti perkuliahan, akan tetapi tidak dibebani kegiatan akademik yang terdiri dari ujian, penelitian dan tugas- tugas lainnya,"
Peraturan_Akademik_2023,1,1,19,2023,berlaku,19,ketentuan umum,Perolehan kredit (Credit Earning) adalah penambahan SKS mata kuliah yang diperoleh seorang mahasiswa dari luar program studinya yang dapat diambil baik di dalam maupun di luar UPN “Veteran” Jawa Timur:
